"order_id","product_id","unit_price","quantity","discount","_sdc_extracted_at","_sdc_received_at","_sdc_batched_at","_sdc_deleted_at","_sdc_sequence","_sdc_table_version","_sdc_sync_started_at","order_id","customer_id","employee_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","_sdc_extracted_at","_sdc_received_at","_sdc_batched_at","_sdc_deleted_at","_sdc_sequence","_sdc_table_version","_sdc_sync_started_at"
"10263","74","8","36","0.25",2025-02-01 14:30:05.282,2025-02-01 14:30:05.422,2025-02-01 14:30:05.420,,1738431005422,,1738431005337,"10263",ERNSH,"9","1996-07-23","1996-08-20","1996-07-31","3","146.06",Ernst Handel,Kirchgasse 6,Graz,"","8010",Austria,2025-02-01 14:30:05.396,2025-02-01 14:30:05.614,2025-02-01 14:30:05.613,,1738431005614,,1738431005337
"10583","69","36","10","0.15",2025-02-01 14:30:05.319,2025-02-01 14:30:05.464,2025-02-01 14:30:05.420,,1738431005465,,1738431005337,"10583",WARTH,"2","1997-06-30","1997-07-28","1997-07-04","2","7.28",Wartian Herkku,Torikatu 38,Oulu,"","90110",Finland,2025-02-01 14:30:05.417,2025-02-01 14:30:05.638,2025-02-01 14:30:05.613,,1738431005639,,1738431005337
"11074","16","17.45","14","0.05",2025-02-01 14:30:05.383,2025-02-01 14:30:05.524,2025-02-01 14:30:05.420,,1738431005525,,1738431005337,"11074",SIMOB,"7","1998-05-06","1998-06-03","","2","18.44",Simons bistro,Vinbæltet 34,Kobenhavn,"","1734",Denmark,2025-02-01 14:30:05.448,2025-02-01 14:30:05.677,2025-02-01 14:30:05.613,,1738431005677,,1738431005337
"10437","53","26.2","15","0",2025-02-01 14:30:05.299,2025-02-01 14:30:05.444,2025-02-01 14:30:05.420,,1738431005444,,1738431005337,"10437",WARTH,"8","1997-02-05","1997-03-05","1997-02-12","1","19.97",Wartian Herkku,Torikatu 38,Oulu,"","90110",Finland,2025-02-01 14:30:05.407,2025-02-01 14:30:05.627,2025-02-01 14:30:05.613,,1738431005628,,1738431005337
"10369","56","30.4","18","0.25",2025-02-01 14:30:05.292,2025-02-01 14:30:05.436,2025-02-01 14:30:05.420,,1738431005436,,1738431005337,"10369",SPLIR,"8","1996-12-02","1996-12-30","1996-12-09","2","195.68",Split Rail Beer & Ale,P.O. Box 555,Lander,WY,"82520",USA,2025-02-01 14:30:05.403,2025-02-01 14:30:05.622,2025-02-01 14:30:05.613,,1738431005623,,1738431005337
"10440","61","22.8","90","0.15",2025-02-01 14:30:05.300,2025-02-01 14:30:05.444,2025-02-01 14:30:05.420,,1738431005445,,1738431005337,"10440",SAVEA,"4","1997-02-10","1997-03-10","1997-02-28","2","86.53",Save-a-lot Markets,"187 Suffolk Ln.",Boise,ID,"83720",USA,2025-02-01 14:30:05.408,2025-02-01 14:30:05.628,2025-02-01 14:30:05.613,,1738431005628,,1738431005337
"10432","54","5.9","40","0",2025-02-01 14:30:05.299,2025-02-01 14:30:05.443,2025-02-01 14:30:05.420,,1738431005444,,1738431005337,"10432",SPLIR,"3","1997-01-31","1997-02-14","1997-02-07","2","4.34",Split Rail Beer & Ale,P.O. Box 555,Lander,WY,"82520",USA,2025-02-01 14:30:05.407,2025-02-01 14:30:05.627,2025-02-01 14:30:05.613,,1738431005628,,1738431005337
"10771","71","21.5","16","0",2025-02-01 14:30:05.342,2025-02-01 14:30:05.487,2025-02-01 14:30:05.420,,1738431005488,,1738431005337,"10771",ERNSH,"9","1997-12-10","1998-01-07","1998-01-02","2","11.19",Ernst Handel,Kirchgasse 6,Graz,"","8010",Austria,2025-02-01 14:30:05.429,2025-02-01 14:30:05.652,2025-02-01 14:30:05.613,,1738431005653,,1738431005337
"10816","62","49.3","20","0.05",2025-02-01 14:30:05.348,2025-02-01 14:30:05.493,2025-02-01 14:30:05.420,,1738431005493,,1738431005337,"10816",GREAL,"4","1998-01-06","1998-02-03","1998-02-04","2","719.78",Great Lakes Food Market,"2732 Baker Blvd.",Eugene,OR,"97403",USA,2025-02-01 14:30:05.432,2025-02-01 14:30:05.656,2025-02-01 14:30:05.613,,1738431005656,,1738431005337
"10823","77","13","15","0.1",2025-02-01 14:30:05.349,2025-02-01 14:30:05.494,2025-02-01 14:30:05.420,,1738431005494,,1738431005337,"10823",LILAS,"5","1998-01-09","1998-02-06","1998-01-13","2","163.97",LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,"3508",Venezuela,2025-02-01 14:30:05.432,2025-02-01 14:30:05.656,2025-02-01 14:30:05.613,,1738431005657,,1738431005337
"10359","60","27.2","80","0.05",2025-02-01 14:30:05.291,2025-02-01 14:30:05.434,2025-02-01 14:30:05.420,,1738431005435,,1738431005337,"10359",SEVES,"5","1996-11-21","1996-12-19","1996-11-26","3","288.43",Seven Seas Imports,"90 Wadhurst Rd.",London,"",OX15 4NB,UK,2025-02-01 14:30:05.402,2025-02-01 14:30:05.621,2025-02-01 14:30:05.613,,1738431005622,,1738431005337
"10441","27","35.1","50","0",2025-02-01 14:30:05.300,2025-02-01 14:30:05.444,2025-02-01 14:30:05.420,,1738431005445,,1738431005337,"10441",OLDWO,"3","1997-02-10","1997-03-24","1997-03-14","2","73.02",Old World Delicatessen,"2743 Bering St.",Anchorage,AK,"99508",USA,2025-02-01 14:30:05.408,2025-02-01 14:30:05.628,2025-02-01 14:30:05.613,,1738431005628,,1738431005337
"10528","72","34.8","9","0",2025-02-01 14:30:05.311,2025-02-01 14:30:05.456,2025-02-01 14:30:05.420,,1738431005457,,1738431005337,"10528",GREAL,"6","1997-05-06","1997-05-20","1997-05-09","2","3.35",Great Lakes Food Market,"2732 Baker Blvd.",Eugene,OR,"97403",USA,2025-02-01 14:30:05.413,2025-02-01 14:30:05.634,2025-02-01 14:30:05.613,,1738431005635,,1738431005337
